,siren,departement,date_publication,activite_déclarée,code_ape,activte_insee,code_postal
0,892606575,02,2021-01-08,"Coiffure, Onglerie et vente de produits annexes.",96.02A,Coiffure,02100
1,539217455,02,2021-01-08,Négoce de palettes,46.73A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,02420
2,892429986,02,2021-01-08,"Vente de glaces, boissons (non alcoolisées), Snacking.",56.10C,Restauration de type rapide,02000
3,892429994,02,2021-01-08,Locations gîtes location Spa location canoës-kayaks,55.20Z,Hébergement touristique et autre hébergement de courte durée,02270
4,892137381,02,2021-01-08,"Services de déménagement de particuliers ou professionnels, vente de matériel de déménagement, garde-meubles et tous services annexes (emballage, déballage, installation de meubles, démontages...) ; Transporteur public routier de marchandises et loueur de véhicules industriels avec conducteur au moyen de véhicules de tout tonnage.",49.42Z,Services de déménagement,02480
5,892106113,02,2021-01-08,"Négoce de véhicules, achat et vente de tous véhicules neufs ou d'occasion, dépôt/vente de véhicules, de location de véhicules, achat et vente de toutes pièces automobiles et tous accessoires, Convoyage de véhicules, service d'établissement de cartes grises automobiles agréé, tous services associés à l'automobile.",45.11Z,Commerce de voitures et de véhicules automobiles légers,02100
6,892462912,02,2021-01-08,"Acquisition d'un immeuble, administration et exploitation par bail, location ou autrement Dudit immeuble et de tous autres immeubles bâtis dont elle pourrait devenir propriétaire.",68.20B,Location de terrains et d'autres biens immobiliers,02160
7,892463068,02,2021-01-08,Acquisition de biens immobiliers pour location.,68.20B,Location de terrains et d'autres biens immobiliers,02820
8,888836236,02,2021-01-08,"Réparation de véhicules de tourisme et utilitaires, de vente de véhicules neufs et d'occasion, de dépannage, de vente de produits pétroliers, de location de véhicules de tourisme et utilitaires et de vente de pièce détachées.",70.10Z,Activités des sièges sociaux,02310
9,892458803,02,2021-01-08,Coursier à vélo,53.20Z,Autres activités de poste et de courrier,02200
10,850240128,02,2021-01-08,"Vente à distance, création de site internet, Flyer",APE Non Diffusable,APE Non Diffusable,02200
11,892458142,02,2021-01-08,"Acquisition en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente de tous biens et droits immobiliers",68.20B,Location de terrains et d'autres biens immobiliers,02130
12,851565770,02,2021-01-08,"L'acquisition, l'aménagement, la gestion, la location et l'administration de tous biens immobiliers et mobiliers accessoires de ces derniers",68.20B,Location de terrains et d'autres biens immobiliers,02290
13,892484296,06,2021-01-08,Market place et réseau social,APE Non Diffusable,APE Non Diffusable,06740
14,439154584,06,2021-01-08,"Achat vente de produits artisanal et de produits bien-être, huiles et substitut au tabac Formation continue pour adultes lié à la petite enfance et à la psychologie",47.89Z,Autres commerces de détail sur éventaires et marchés,06560
15,888947801,06,2021-01-08,Autre activité purement commerciale dans le domaine de l'alimentation,46.39B,Commerce de gros (commerce interentreprises) alimentaire non spécialisé,06580
16,844060624,06,2021-01-08,Créatrice couturière de vêtements et accessoires pour petits et grands,APE Non Diffusable,APE Non Diffusable,06130
17,892502303,06,2021-01-08,Livraison de repas et de courses à domicile à vélo,53.20Z,Autres activités de poste et de courrier,06130
18,892503319,06,2021-01-08,Livraison de repas à domicile à vélo,APE Non Diffusable,APE Non Diffusable,06130
19,892419607,06,2021-01-08,non renseignee,70.10Z,Activités des sièges sociaux,non renseigne
