,activite,code_ape
0,"Coiffure, Onglerie et vente de produits annexes.",96.02A
1,Négoce de palettes,46.73A
2,"Vente de glaces, boissons (non alcoolisées), Snacking.",56.10C
3,Locations gîtes location Spa location canoës-kayaks,55.20Z
4,"Services de déménagement de particuliers ou professionnels, vente de matériel de déménagement, garde-meubles et tous services annexes (emballage, déballage, installation de meubles, démontages...) ; Transporteur public routier de marchandises et loueur de véhicules industriels avec conducteur au moyen de véhicules de tout tonnage.",49.42Z
5,"Négoce de véhicules, achat et vente de tous véhicules neufs ou d'occasion, dépôt/vente de véhicules, de location de véhicules, achat et vente de toutes pièces automobiles et tous accessoires, Convoyage de véhicules, service d'établissement de cartes grises automobiles agréé, tous services associés à l'automobile.",45.11Z
6,"Acquisition d'un immeuble, administration et exploitation par bail, location ou autrement Dudit immeuble et de tous autres immeubles bâtis dont elle pourrait devenir propriétaire.",68.20B
7,Acquisition de biens immobiliers pour location.,68.20B
8,"Réparation de véhicules de tourisme et utilitaires, de vente de véhicules neufs et d'occasion, de dépannage, de vente de produits pétroliers, de location de véhicules de tourisme et utilitaires et de vente de pièce détachées.",70.10Z
9,Coursier à vélo,53.20Z
10,"Vente à distance, création de site internet, Flyer",APE Non Diffusable
11,"Acquisition en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente de tous biens et droits immobiliers",68.20B
12,"L'acquisition, l'aménagement, la gestion, la location et l'administration de tous biens immobiliers et mobiliers accessoires de ces derniers",68.20B
13,Market place et réseau social,APE Non Diffusable
14,"Achat vente de produits artisanal et de produits bien-être, huiles et substitut au tabac Formation continue pour adultes lié à la petite enfance et à la psychologie",47.89Z
15,Autre activité purement commerciale dans le domaine de l'alimentation,46.39B
16,Créatrice couturière de vêtements et accessoires pour petits et grands,APE Non Diffusable
17,Livraison de repas et de courses à domicile à vélo,53.20Z
18,Livraison de repas à domicile à vélo,APE Non Diffusable
19,non renseigné,70.10Z
20,"L'acquisition, en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location, la location en meublé professionnel, et la vente (exceptionnelle) de tous biens et droits immobiliers, ainsi que de tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question",68.20B
21,"Acquisition, apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente de tous biens et droits immobiliers.",68.20B
22,"L'activité de loueur en meublé non professionnel. La location, en meublé à titre habituel, de chambres et appartements.",55.10Z
23,"Acquisition, administration, gestion par bail, location, vente ou autrement de tous immeubles et biens immobiliers et notamment l'acquisition des biens et droits immobiliers sis à GRASSE 06130, 49 Bis route de la Marigarde, Lieudit Quartier de la Madeleine lot numéro 8 de la ZI du carré.",68.20B
24,"La gestion et l'administration de l'immeuble faisant l'objet de l'apport savoir une propriété à GRASSE 06130, 102 Chemin des Basses Ribes et plus généralement l'acquisition , l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente de tous biens et droits immobiliers, ainsi que tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question",68.20B
25,"L'achat, la vente, la construction, la gestion et la location de tous biens immobiliers",68.20B
26,non renseigné,70.10Z
27,"Tous travaux de rénovation intérieure et extérieure, notamment maçonnerie, électricité, plomberie et revêtement des sols et murs Tous travaux de rénovation intérieure et extérieure, notamment maçonnerie, électricité, plomberie et revêtement des sols et murs, courtage en travaux, conseils et management de projet",41.20A
28,"Vente de produits capillaires tout public, y compris professionnels, produits de beauté et accessoires beauté",47.75Z
29,"L'acquisition, la construction, l'édification, la propriété, la location de tous immeubles, tous tènements immobiliers, parkings ; la location en meublé ou non meublé, d'espaces nus ; la location d'espaces aménagés ; la gestion, la propriété, l'administration et la disposition des biens qui pourront devenir sa propriété, par voie d'acquisition, échange, apport, construction, bail à construction ou autrement. La mise en valeur de ces immeubles notamment par la démolition et reconstruction.",68.20B
30,"Acquisition, propriété, gestion de tous immeubles ou droits immobiliers.",68.20B
31,non renseigné,70.10Z
32,"Acquisition, apport, propriété, mise en valeur, transformation, construction, aménagement, administration, location et vente (exceptionnelle) de tous biens et droits immobiliers, et leurs accessoires, annexes ou compléments. Le tout au moyen de ses capitaux propres ou de capitaux d'emprunt, ainsi que de l'octroi, à titre accessoire et exceptionnel, de toutes garanties à des opérations conformes au présent objet civil et susceptibles d'en favoriser le développement.",68.20B
33,Acquisition et locations de biens immobiliers.,68.20B
34,"Location immobilière, promotion, vente.",68.20B
35,aucune activite,66.22Z
36,non renseigné,68.20A
37,non renseigné,68.10Z
